site,archetype_expected,check_id,check_title,where_to_look,criteria,label,locus_url,evidence,notes
lwn.net,news_editorial,CHK-D-001,Retrieval-time AI crawler blocked in robots.txt,robots.txt,"PRESENT if any retrieval/hybrid-class agent (GPTBot, PerplexityBot, etc.) has Disallow on root '/'. Severity critical. Silent if only training-class agents (e.g. CCBot) are blocked, or the block is on a path other than root.",ABSENT,,,"Only training-class agents (GPTBot, ClaudeBot, meta-externalagent) are Disallow'd at root, per site-evidence-collector's own agent classification. No retrieval-class agent (OAI-SearchBot, ChatGPT-User, PerplexityBot, Claude-Web/User, Claude-SearchBot, Perplexity-User) is named anywhere in robots.txt."
lwn.net,news_editorial,CHK-D-002,Training-only crawler blocked in robots.txt,robots.txt,"PRESENT if a training-class agent has Disallow on root AND no retrieval-class agent is blocked (else CHK-D-001 fires instead and this is silent). Severity low, informational -- blocking training crawlers is frequently deliberate policy, not a defect.",PRESENT,,User-agent: GPTBot ... Disallow: /,"GPTBot, ClaudeBot and meta-externalagent (all training-class) are blocked at root; no retrieval-class agent is blocked, so this fires instead of CHK-D-001."
lwn.net,news_editorial,CHK-D-003,Raw-fetch content gap vs. rendered DOM,homepage only,"PRESENT (critical) if raw HTML has no h1 AND <50 words of main text, while rendered DOM has >=200 words. medium if h1 present but >=60% of text is render-only. low if 20-60% render-only. Silent below 20% gap or if noscript has >50 words.",UNMEASURABLE,,,"No rendered evidence captured in this bundle (rendered=[]). Raw homepage isn't sparse either (h1 present, 2538 words), so the one-sided static re-derivation (D-015) doesn't fire -- neither branch of the rule can be evaluated."
lwn.net,news_editorial,CHK-D-004,Thin main content (<200 words after boilerplate removal),"informational pages, excl. home/contact/login","PRESENT (medium) per page if main_text_words < 200 after boilerplate removal. Excludes page_type in {contact, login, home} -- home added Stage C, D-022, since a homepage is framing, not content. Silent if CHK-D-003 fired on this page as a JS-SPA homepage.",PRESENT,https://lwn.net/Calendar/Monthly/2026-08/,144 words,"Also under 200: Oct calendar (159 words), Alerts/AlmaLinux (167), Alerts/Fedora (174). NOTE: these are calendar/alerts index pages, not article content -- arguably navigational/utility rather than 'thin content' in the intended sense, but they aren't in the check's literal exclusion set {home, contact, login}, so the shipped check fires on them regardless. Flagging as a borderline call, not deciding it for you."
lwn.net,news_editorial,CHK-D-005,Absent or generic headings on long pages (>500 words),informational pages >500 words,"PRESENT (low) if no h2/h3 present, or headings are generic ('More', 'Details') rather than descriptive, on pages with >500 words. Excludes legal/FAQ/minimal-content page types.",ABSENT,,,"Only qualifying page after excluding legal/FAQ is home (2538 words): 21 headings, all descriptive article titles, none generic."
lwn.net,news_editorial,CHK-D-006,Missing explicit entity definition in first 300 words,home/about,"PRESENT (medium if absent on both, low if absent on one) if no sentence in the first 300 words names the organisation + its category + its function. Silent if the <title> already states org name + category, or if CHK-D-007 fires with complete Org JSON-LD.",ABSENT,,,"First sentence of the homepage: 'LWN.net is a reader-supported news site dedicated to producing the best coverage from within the Linux and free software development communities.' -- names org, category, and function explicitly."
lwn.net,news_editorial,CHK-D-007,Missing or incomplete Organization JSON-LD,homepage only,"PRESENT (low; capped from medium in Stage C, D-022 -- absence is the open web's majority condition per WDC 2024, not a differentiator) if no @type:Organization JSON-LD block exists on the homepage, OR one exists but is missing 'name' or 'url'. N/A on personal/hobby/portfolio archetypes.",PRESENT,https://lwn.net/,structured_data.json_ld is an empty list,"No JSON-LD of any kind on the homepage, let alone an Organization block."
lwn.net,news_editorial,CHK-D-008,Missing or cross-domain rel=canonical,sampled pages,"PRESENT (medium) if >=2 pages have no rel=canonical, or any page's canonical points cross-domain (not a same-brand redirect target). low if missing on exactly 1 page. Passes if self-referential, or a valid alternate-domain consolidation, or a pagination canonical.",PRESENT,https://lwn.net/,canonical.href is null,"canonical.href is null on all 9 sampled pages -- no rel=canonical anywhere, well above the 2-page medium threshold."
lwn.net,news_editorial,CHK-D-009,Broken internal links (4xx/5xx),"sampled pages, up to 20 links checked","PRESENT (low) if any checked internal link returns 4xx/5xx. Links already in links.skipped[] (robots-disallowed, fragment, mailto:, budget-cut) don't count -- they were never checked, not found broken.",ABSENT,,,"Of 20 checked links: three return 403, three return 429, rest are 200. Zero genuine 404/500. NOTE: 403 is explicitly exempted by the check's own FP guard (bot-challenge, not_determinable); 429 is NOT explicitly exempted in the stated rule and is technically a 4xx code. Graded these as not genuinely broken (rate-limiting, not dead links) -- flagging in case you read the literal rule differently."
lwn.net,news_editorial,CHK-D-010,No definition/numeric fact/comparison on the page,"informational pages, excl. home/contact/login (recommendation-only since Stage C)","RECOMMENDATION-ONLY since Stage C (D-022) -- never a finding, regardless of state. 'PRESENT' (i.e. flagged) if the page's text has none of: a definitional sentence ('X is a/an/the Y'), a number+unit, or an explicit comparison word ('than', 'vs', 'faster than', etc.). Silent if CHK-D-004 already fired on this page.",PRESENT,https://lwn.net/Alerts/AlmaLinux/,Recent AlmaLinux security alerts (3017 alerts total),"No definitional sentence, no number+recognised-unit match, no comparison word found on this page's text."
