in_minimum_set,source_code,title,authors_venue_year,url,agent_read_status,checks_this_clears,check_ids,human_opened,claim_confirmed,notes
YES,P-06.05,BLINK: Scalable Zero-shot Entity Linking with Dense Entity Retrieval,"Ledell Wu, Fabio Petroni, Martin Josifoski, Sebastian Riedel,",https://aclanthology.org/2020.emnlp-main.519,VERIFIED,4,"CHK-D-006, CHK-D-025, CHK-D-026, CHK-D-027",yes,partially,"Paper links entities using ONLY short text descriptions, explicitly NOT external identifiers/knowledge bases. STRONG for D-006 (explicit description aids disambiguation = its core method). WEAK/MISMATCHED for D-025+D-026 (they claim external identity links matter; BLINK shows the opposite emphasis). INDIRECT only for D-027 (consistency never tested)."
YES,P-01.10,From Citation Selection to Citation Absorption: A Measurement Framework for GEO Across AI Search Platforms,"Zhang Kai, He Xinyue, Yao Jingang. arXiv 2604.25707 (cs.IR),",https://arxiv.org/abs/2604.25707,VERIFIED,3,"CHK-D-004, CHK-D-005, CHK-D-010",yes,yes,"Verbatim match (confirmed against actual abstract text). States high-influence pages are 'longer, more structured, semantically aligned, and richer in extractable evidence such as definitions, numerical facts, comparisons, and procedural steps'. Backs all three checks cleanly."
YES,P-01.05,Measuring Attribution in Natural Language Generation Models (AIS),"Hannah Rashkin, Vitaly Nikolaev, Matthew Lamm, Lora Aroyo,",https://arxiv.org/abs/2112.12870,VERIFIED,3,"CHK-D-006, CHK-D-011, CHK-D-027",yes,partially,"Paper introduces the AIS framework for evaluating whether model output is attributable to a source. Abstract does NOT discuss pronouns, ambiguity, or unclear referents - which is exactly what D-011 cites it for. Support not visible without reading full text. Weakest link of the three checks."
YES,P-01.06,AI Search Has a Citation Problem (Tow Center),"Klaudia Jaźwińska and Aisvarya Chandrasekar, Tow Center for",https://www.cjr.org/tow_center/we-compared-eight-ai-search-engines-theyre-all-bad-at-citing-news.php,VERIFIED,3,"CHK-D-008, CHK-D-009, CHK-D-026",yes,yes,"Strong. 60%+ incorrect answers (Grok 3: 94%); over half of Gemini/Grok responses cited fabricated or broken URLs; systematically cites syndicated copies over originals. Directly backs canonical/broken-link/dead-anchor reasoning. Note: D-026 fit is more thematic than direct - this paper studies AI citing external articles, not the audited site's own anchor links resolving."
YES,P-07.06,"The WebAIM Million (annual accessibility analysis of 1,000,000 home pages)","WebAIM, Utah State University — annual report; figures below are from",https://webaim.org/projects/million/,VERIFIED,3,"CHK-E-014, CHK-E-017, CHK-E-022",yes,yes,Confirmed it evaluates real website homepages at scale and reports detected accessibility errors and complexity measures. Matches the claim.
YES,P-01.03,Consent in Crisis: The Rapid Decline of the AI Data Commons,"Shayne Longpre, Robert Mahari, Ariel Lee, Campbell Lund, et al.",https://arxiv.org/abs/2407.14933,VERIFIED,2,"CHK-D-001, CHK-D-002",yes,partially,"Confirms rapid rise in crawler restrictions (~5% of C4 tokens fully restricted, 45% via ToS) - this is a training-corpus study, so it backs D-002 reasonably. Does NOT distinguish retrieval-time from training crawlers - and that split is the entire basis of D-001 (critical) vs D-002 (low). See P-01.12: it doesn't establish the split either. ACTION: cite vendor crawler docs for the taxonomy instead."
YES,P-04.10,Client-Side Rendering and AI-Crawler Visibility: Measurement of JS Rendering Gap,No single peer-reviewed paper; the mechanism is documented,,,2,"CHK-D-003, CHK-E-019",n/a,n/a,No URL exists - nothing to open. Already superseded per this ledger's own R-2 resolution: CHK-D-003's severity rule was redesigned to be definitional (no h1 + <50 raw words vs >=200 rendered), needing no effect size. Not load-bearing.
YES,P-01.15,Per-Entity Bias Mapping for AI Visibility: Why Brand Mentions Require Entity-Specific Calibration,"14 tables. Preprint; **single author, no stated venue**; Zenodo data/code repositories",https://arxiv.org/abs/2606.21595,VERIFIED,2,"CHK-D-006, CHK-D-007",yes,partially,"Real paper (Zoltan Varga, submitted 2026-06-19, single author, no peer-reviewed venue). Finds entity-specific hallucination patterns; counterintuitively well-known brands hallucinate MORE (52.69% Tier 1 vs 37.87% Tier 3). Does NOT address schema.org/Organization markup, which is what D-007 needs. Adjacent (knowledge-graph gaps, entity linking deficits) but not direct support. D-007 gap since closed by P-06.02."
YES,P-07.15,Target size study for one-handed thumb use on small touchscreen devices,"SEARCH-ONLY — citation, venue, pagination, DOI and two-phase design confirmed via",https://www.microsoft.com/en-us/research/publication/target-size-study-for-one-handed-thumb-use-on-small-touchscreen-devices/,SEARCH-ONLY,2,"CHK-E-015, CHK-E-016",yes,yes,"Real, legitimate, accessible source (upgraded from the ledger's old search-only flag) - recommends 9.2mm/9.6mm minimum tap targets. Project deliberately uses WCAG 2.2's 24x24px standard instead of this paper's figure, so this source is verified but not actually relied upon."
YES,P-07.01,Defining the Core Web Vitals metrics thresholds,"Bryan McQuade, Google / web.dev developer documentation (published",https://web.dev/articles/defining-core-web-vitals-thresholds,VERIFIED,2,"CHK-E-015, CHK-E-021",yes,yes,"Confirms official thresholds (LCP <=2500ms, INP <=200ms, CLS <=0.1 good / >0.25 poor). Also states 'Given CLS is new, we are not aware of research that can directly inform the thresholds for this metric' - independently confirms the project's own claim that CLS lacks perception research, which is what caps E-021 at medium."
YES,P-07.09,The Better Ads Standards (Coalition for Better Ads research),"Coalition for Better Ads, initial standards 2017, expanded to",https://www.betterads.org/research/,VERIFIED,2,"CHK-E-018, CHK-E-020",yes,yes,"Strong, backs both checks. Confirms >30% mobile / >50% desktop ad density thresholds. Also lists 'auto-playing videos with sound' as an unacceptable format (backs E-020) and pop-ups/prestitials/large sticky ads (backs E-018). Based on a 66,000+ consumer survey."
YES,P-06.08,FreshLLMs: Refreshing Large Language Models with Search Engine Augmentation (FreshQA),"Tu Vu, Mohit Iyyer, Xuezhi Wang, Noah Constant, Jerry Wei,",https://arxiv.org/abs/2310.03214,VERIFIED,1,CHK-D-012,yes,yes,Confirms all models regardless of size struggle on fast-changing knowledge; introduces FreshQA benchmark and FreshPrompt. Directly supports that content recency/date signals matter for correctness.
YES,P-01.09,Synthetic Sources?: Auditing Generative Search Engine Citations for Evidence of AI-Generated Sources,"Mowafak Allaham, Nicholas Diakopoulos. arXiv 2605.23684,",https://arxiv.org/abs/2605.23684,VERIFIED,1,CHK-D-013,yes,no,"Real paper: audits 4 generative search engines, finds ~16% of cited sources are AI-generated, and reliance on a narrow set of repeatedly-cited domains. But D-013 is about near-duplicate templated content on one site (Jaccard trigram similarity) - related theme (low-quality content) but not the same claim. D-013 remains unsupported after checking backup source P-06.03 too - recommend demotion or removal."
YES,P-07.13,How do users evaluate the credibility of Web sites? (Stanford Web Credibility),"PEER-REVIEWED (conference proceedings, peer-reviewed venue)",https://dl.acm.org/doi/10.1145/997078.997097,SEARCH-ONLY,1,CHK-E-024,yes,partially,"Accessible via institutional login, not paywalled. Real 2003 study (2,684 participants). Headline finding is that 'design look' was the most frequently mentioned credibility factor (46.1%), not the specific trust signals E-024 checks for (contact info, org name, HTTPS, byline dates). Ironic mismatch: this paper's top finding (visual design affects trust) is exactly the kind of claim D-007 explicitly bans elsewhere in this project. No practical impact since E-024 is already demoted to recommendation-only under the single-source rule - this just confirms that demotion was correct."
YES,P-06.06,ReFinED: An Efficient Zero-shot-capable Approach to End-to-End Entity Linking,"Tom Ayoola, Shubhi Tyagi, Joseph Fisher, Christos",https://arxiv.org/abs/2207.04108,VERIFIED,3,"CHK-D-006, CHK-D-025, CHK-D-026",yes,partially,"Better fit than BLINK for D-025 - ReFinED links to external knowledge bases (Wikidata) rather than avoiding them, directly supporting why declared identity anchors matter. D-026's specific 'broken anchor' scenario remains untested by either paper, but that's a narrower/mechanical claim anyway (a dead link is a dead link, doesn't need a research paper to justify). Closes the D-025/D-026 gap that BLINK left open."
