site,archetype_expected,check_id,check_title,where_to_look,criteria,label,locus_url,evidence,notes
bookshop.org,ecommerce,CHK-D-001,Retrieval-time AI crawler blocked in robots.txt,robots.txt,"PRESENT if any retrieval/hybrid-class agent (GPTBot, PerplexityBot, etc.) has Disallow on root '/'. Severity critical. Silent if only training-class agents (e.g. CCBot) are blocked, or the block is on a path other than root.",,,,
bookshop.org,ecommerce,CHK-D-002,Training-only crawler blocked in robots.txt,robots.txt,"PRESENT if a training-class agent has Disallow on root AND no retrieval-class agent is blocked (else CHK-D-001 fires instead and this is silent). Severity low, informational -- blocking training crawlers is frequently deliberate policy, not a defect.",,,,
bookshop.org,ecommerce,CHK-D-003,Raw-fetch content gap vs. rendered DOM,homepage only,"PRESENT (critical) if raw HTML has no h1 AND <50 words of main text, while rendered DOM has >=200 words. medium if h1 present but >=60% of text is render-only. low if 20-60% render-only. Silent below 20% gap or if noscript has >50 words.",,,,
bookshop.org,ecommerce,CHK-D-004,Thin main content (<200 words after boilerplate removal),"informational pages, excl. home/contact/login","PRESENT (medium) per page if main_text_words < 200 after boilerplate removal. Excludes page_type in {contact, login, home} -- home added Stage C, D-022, since a homepage is framing, not content. Silent if CHK-D-003 fired on this page as a JS-SPA homepage.",,,,
bookshop.org,ecommerce,CHK-D-005,Absent or generic headings on long pages (>500 words),informational pages >500 words,"PRESENT (low) if no h2/h3 present, or headings are generic ('More', 'Details') rather than descriptive, on pages with >500 words. Excludes legal/FAQ/minimal-content page types.",,,,
bookshop.org,ecommerce,CHK-D-006,Missing explicit entity definition in first 300 words,home/about,"PRESENT (medium if absent on both, low if absent on one) if no sentence in the first 300 words names the organisation + its category + its function. Silent if the <title> already states org name + category, or if CHK-D-007 fires with complete Org JSON-LD.",,,,
bookshop.org,ecommerce,CHK-D-007,Missing or incomplete Organization JSON-LD,homepage only,"PRESENT (low; capped from medium in Stage C, D-022 -- absence is the open web's majority condition per WDC 2024, not a differentiator) if no @type:Organization JSON-LD block exists on the homepage, OR one exists but is missing 'name' or 'url'. N/A on personal/hobby/portfolio archetypes.",,,,
bookshop.org,ecommerce,CHK-D-008,Missing or cross-domain rel=canonical,sampled pages,"PRESENT (medium) if >=2 pages have no rel=canonical, or any page's canonical points cross-domain (not a same-brand redirect target). low if missing on exactly 1 page. Passes if self-referential, or a valid alternate-domain consolidation, or a pagination canonical.",,,,
bookshop.org,ecommerce,CHK-D-009,Broken internal links (4xx/5xx),"sampled pages, up to 20 links checked","PRESENT (low) if any checked internal link returns 4xx/5xx. Links already in links.skipped[] (robots-disallowed, fragment, mailto:, budget-cut) don't count -- they were never checked, not found broken.",,,,
bookshop.org,ecommerce,CHK-D-010,No definition/numeric fact/comparison on the page,"informational pages, excl. home/contact/login (recommendation-only since Stage C)","RECOMMENDATION-ONLY since Stage C (D-022) -- never a finding, regardless of state. 'PRESENT' (i.e. flagged) if the page's text has none of: a definitional sentence ('X is a/an/the Y'), a number+unit, or an explicit comparison word ('than', 'vs', 'faster than', etc.). Silent if CHK-D-004 already fired on this page.",,,,
bookshop.org,ecommerce,CHK-D-011,"Pronoun-saturated key claims, no explicit antecedent",home/about,PRESENT (low) if >60% of sentences open with a pronoun (He/She/It/They/We/This/These/etc.) with no preceding explicit mention in the same passage. Excludes narrative/blog page types.,,,,
bookshop.org,ecommerce,CHK-D-012,Missing date signal on time-sensitive content,pages classified time-sensitive per SKILL.md §2,"PRESENT (low) if a time-sensitive page has no plausible date (within last 5 years) in body, meta tags, or Last-Modified header. NEVER raised on evergreen pages -- when in doubt the classifier treats a page as evergreen. Silent if a valid Last-Modified header exists even with no visible date.",,,,
bookshop.org,ecommerce,CHK-D-013,Near-duplicate templated content across pages,3+ eligible pages (word-trigram Jaccard),"PRESENT (low) if word-trigram Jaccard similarity is >0.8 across 3+ sampled inner pages. Excludes legitimate variant pages (size/color) and legal/ToS pages, where near-identical text is expected.",,,,
bookshop.org,ecommerce,CHK-D-025,No declared identity anchors (sameAs / outbound profile links),home/about,PRESENT (medium) if zero sameAs JSON-LD entries AND zero outbound profile links (LinkedIn/GitHub/Wikipedia/etc.) appear on home or about. Any single resolvable anchor of either kind passes. N/A on personal/hobby/portfolio archetypes.,,,,
bookshop.org,ecommerce,CHK-D-026,Declared identity anchor doesn't resolve,each declared anchor URL (bounded HEAD requests),"PRESENT (high if all anchors fail, medium if some fail) if a declared anchor (from CHK-D-025) returns 404/410. 401/403/429 is bot-blocked, NOT broken -- not_determinable, never a finding for that anchor. N/A if CHK-D-025 found zero anchors to check.",,,,
bookshop.org,ecommerce,CHK-D-027,Self-inconsistent org name/legal name/phone/address,"JSON-LD + footer + contact page, >=2 instances required","PRESENT (medium for name/legal-name conflict, low for phone/address only) if the same attribute appears in >=2 genuinely different forms across pages, after normalizing whitespace/punctuation and legal-entity suffixes (Ltd/Limited/LLC/Inc/GmbH etc. are equivalent) and international phone prefixes. Silent if fewer than 2 comparable instances exist.",,,,
bookshop.org,ecommerce,CHK-E-014,Machine-detectable WCAG failures (lang/alt/labels/empty links/contrast),sampled pages,"PRESENT (high, sub-checks a-e) per page for: (a) missing lang on <html>; (b) img with alt===null (NOT alt=="""", which is correct for decorative images); (c) link/button with no accessible text; (d) form control with no label/aria-label; (e) iframe with no title. (f) contrast ratio <4.5:1 normal / <3:1 large text -- medium, not_determinable if no rendered evidence.",,,,
bookshop.org,ecommerce,CHK-E-015,Viewport meta missing or zoom-blocking,sampled pages + mobile 375px viewport,"PRESENT (high) if viewport meta has user-scalable=no or maximum-scale<2. medium if viewport meta is missing entirely, or horizontal overflow at 375px. minimum-scale=1 is NOT a zoom restriction.",,,,
bookshop.org,ecommerce,CHK-E-016,Standalone tap targets below 24x24 CSS px,"sampled pages, mobile 375px rendered geometry","PRESENT (medium) if any standalone (non-inline-text) interactive element is <24x24 CSS px, per WCAG 2.2 SC 2.5.8. Silent if adjacent-target spacing is >=24px (spacing exception) or the element is an inline text link.",,,,
bookshop.org,ecommerce,CHK-E-017,Non-descriptive anchor text (>10% of links),sampled pages,"PRESENT (medium) if >10% of links on a page use text like 'click here', 'read more', 'learn more', 'details', etc., AND have no descriptive aria-label.",,,,
bookshop.org,ecommerce,CHK-E-018,Content-blocking overlay at load (excl. cookie/age-gate),"sampled pages, mobile 375px viewport",PRESENT (high) if an overlay covers >=50% of viewport AND body scroll is locked at page load. medium if >=50% coverage without scroll lock. Silent if dismissible_hint is 'cookie' or 'age' (legal-compliance overlays are not defects).,,,,
bookshop.org,ecommerce,CHK-E-019,"Blank first paint, no noscript/skeleton fallback",homepage,PRESENT (high) if raw HTTP fetch has <50 words AND noscript has <50 words AND rendered DOM has >=200 words. medium if raw <200 words but noscript has a meaningful (>=50 word) fallback. Duplicates CHK-D-003's mechanism deliberately; the orchestrator defers this finding to CHK-D-003 when both fire on the same site.,,,,
bookshop.org,ecommerce,CHK-E-020,"Autoplaying media with sound, no pause control",sampled pages,"PRESENT (medium) if a <video>/<audio> element has autoplay=true, muted=false, AND controls=false. 'video autoplay muted' is correct and NOT flagged.",,,,
bookshop.org,ecommerce,CHK-E-021,Images/iframes missing width/height/aspect-ratio,sampled pages (recommendation-only since Stage C),"RECOMMENDATION-ONLY since Stage C (D-022) -- never a finding, always low severity if flagged. 'PRESENT' (i.e. flagged) if >=3 images/iframes lack width+height attrs AND css aspect-ratio (excludes responsive <picture> elements).",,,,
bookshop.org,ecommerce,CHK-E-022,Missing <main> / zero <h1> / heading-level skip,sampled pages,"PRESENT (high) if a page has zero <h1> elements. medium if <main> landmark is missing, or a heading level is skipped (e.g. h2 straight to h4). Multiple h1 is NOT a violation (removed Stage B, D-020 -- WCAG permits multiple h1 under HTML5 sectioning).",,,,
bookshop.org,ecommerce,CHK-E-024,Missing trust signals (contact/org name/HTTPS/byline),"home/about/contact, commercial archetypes only","RECOMMENDATION-ONLY, always -- never a finding at any severity. 'PRESENT' (i.e. flagged) if a commercial/news site lacks detectable contact info, org name in footer, HTTPS, or byline dates on articles. N/A on documentation/brochure/personal archetypes.",,,,
www.adafruit.com,ecommerce,CHK-D-001,Retrieval-time AI crawler blocked in robots.txt,robots.txt,"PRESENT if any retrieval/hybrid-class agent (GPTBot, PerplexityBot, etc.) has Disallow on root '/'. Severity critical. Silent if only training-class agents (e.g. CCBot) are blocked, or the block is on a path other than root.",,,,
www.adafruit.com,ecommerce,CHK-D-002,Training-only crawler blocked in robots.txt,robots.txt,"PRESENT if a training-class agent has Disallow on root AND no retrieval-class agent is blocked (else CHK-D-001 fires instead and this is silent). Severity low, informational -- blocking training crawlers is frequently deliberate policy, not a defect.",,,,
www.adafruit.com,ecommerce,CHK-D-003,Raw-fetch content gap vs. rendered DOM,homepage only,"PRESENT (critical) if raw HTML has no h1 AND <50 words of main text, while rendered DOM has >=200 words. medium if h1 present but >=60% of text is render-only. low if 20-60% render-only. Silent below 20% gap or if noscript has >50 words.",,,,
www.adafruit.com,ecommerce,CHK-D-004,Thin main content (<200 words after boilerplate removal),"informational pages, excl. home/contact/login","PRESENT (medium) per page if main_text_words < 200 after boilerplate removal. Excludes page_type in {contact, login, home} -- home added Stage C, D-022, since a homepage is framing, not content. Silent if CHK-D-003 fired on this page as a JS-SPA homepage.",,,,
www.adafruit.com,ecommerce,CHK-D-005,Absent or generic headings on long pages (>500 words),informational pages >500 words,"PRESENT (low) if no h2/h3 present, or headings are generic ('More', 'Details') rather than descriptive, on pages with >500 words. Excludes legal/FAQ/minimal-content page types.",,,,
www.adafruit.com,ecommerce,CHK-D-006,Missing explicit entity definition in first 300 words,home/about,"PRESENT (medium if absent on both, low if absent on one) if no sentence in the first 300 words names the organisation + its category + its function. Silent if the <title> already states org name + category, or if CHK-D-007 fires with complete Org JSON-LD.",,,,
www.adafruit.com,ecommerce,CHK-D-007,Missing or incomplete Organization JSON-LD,homepage only,"PRESENT (low; capped from medium in Stage C, D-022 -- absence is the open web's majority condition per WDC 2024, not a differentiator) if no @type:Organization JSON-LD block exists on the homepage, OR one exists but is missing 'name' or 'url'. N/A on personal/hobby/portfolio archetypes.",,,,
www.adafruit.com,ecommerce,CHK-D-008,Missing or cross-domain rel=canonical,sampled pages,"PRESENT (medium) if >=2 pages have no rel=canonical, or any page's canonical points cross-domain (not a same-brand redirect target). low if missing on exactly 1 page. Passes if self-referential, or a valid alternate-domain consolidation, or a pagination canonical.",,,,
www.adafruit.com,ecommerce,CHK-D-009,Broken internal links (4xx/5xx),"sampled pages, up to 20 links checked","PRESENT (low) if any checked internal link returns 4xx/5xx. Links already in links.skipped[] (robots-disallowed, fragment, mailto:, budget-cut) don't count -- they were never checked, not found broken.",,,,
www.adafruit.com,ecommerce,CHK-D-010,No definition/numeric fact/comparison on the page,"informational pages, excl. home/contact/login (recommendation-only since Stage C)","RECOMMENDATION-ONLY since Stage C (D-022) -- never a finding, regardless of state. 'PRESENT' (i.e. flagged) if the page's text has none of: a definitional sentence ('X is a/an/the Y'), a number+unit, or an explicit comparison word ('than', 'vs', 'faster than', etc.). Silent if CHK-D-004 already fired on this page.",,,,
www.adafruit.com,ecommerce,CHK-D-011,"Pronoun-saturated key claims, no explicit antecedent",home/about,PRESENT (low) if >60% of sentences open with a pronoun (He/She/It/They/We/This/These/etc.) with no preceding explicit mention in the same passage. Excludes narrative/blog page types.,,,,
