site,archetype_expected,check_id,check_title,where_to_look,criteria,label,locus_url,evidence,notes
www.tartinebakery.com,local_business,CHK-D-001,Retrieval-time AI crawler blocked in robots.txt,robots.txt,"PRESENT if any retrieval/hybrid-class agent (GPTBot, PerplexityBot, etc.) has Disallow on root '/'. Severity critical. Silent if only training-class agents (e.g. CCBot) are blocked, or the block is on a path other than root.",ABSENT,,,No retrieval-class agent named in robots.txt.
www.tartinebakery.com,local_business,CHK-D-002,Training-only crawler blocked in robots.txt,robots.txt,"PRESENT if a training-class agent has Disallow on root AND no retrieval-class agent is blocked (else CHK-D-001 fires instead and this is silent). Severity low, informational -- blocking training crawlers is frequently deliberate policy, not a defect.",ABSENT,,,No training-only agent blocked.
www.tartinebakery.com,local_business,CHK-D-003,Raw-fetch content gap vs. rendered DOM,homepage only,"PRESENT (critical) if raw HTML has no h1 AND <50 words of main text, while rendered DOM has >=200 words. medium if h1 present but >=60% of text is render-only. low if 20-60% render-only. Silent below 20% gap or if noscript has >50 words.",PRESENT,https://tartinebakery.com/,"raw HTML: <div id=""root""></div> is empty; noscript is ""You need to enable JavaScript to run this app."" (8 words); 0 h1","Confirmed via pasted view-source: Netlify+React SPA shell, all real content client-rendered. Overriding the tool's literal not_determinable (its extraction_ok=False guard assumes 'fetch failed'; here the fetch succeeded with HTTP 200, it's genuinely just empty) -- independently confirmed this matches the one-sided rule (raw_h1=0, raw_words<50)."
www.tartinebakery.com,local_business,CHK-D-004,Thin main content (<200 words after boilerplate removal),"informational pages, excl. home/contact/login","PRESENT (medium) per page if main_text_words < 200 after boilerplate removal. Excludes page_type in {contact, login, home} -- home added Stage C, D-022, since a homepage is framing, not content. Silent if CHK-D-003 fired on this page as a JS-SPA homepage.",N/A,,,No eligible page sampled (only page(s) excluded by page_type).
www.tartinebakery.com,local_business,CHK-D-005,Absent or generic headings on long pages (>500 words),informational pages >500 words,"PRESENT (low) if no h2/h3 present, or headings are generic ('More', 'Details') rather than descriptive, on pages with >500 words. Excludes legal/FAQ/minimal-content page types.",N/A,,,No page exceeds 500 words.
www.tartinebakery.com,local_business,CHK-D-006,Missing explicit entity definition in first 300 words,home/about,"PRESENT (medium if absent on both, low if absent on one) if no sentence in the first 300 words names the organisation + its category + its function. Silent if the <title> already states org name + category, or if CHK-D-007 fires with complete Org JSON-LD.",PRESENT,https://tartinebakery.com/,,"No explicit org-definition sentence in first ~300 words of home/about, and no Organization JSON-LD to exempt it."
www.tartinebakery.com,local_business,CHK-D-007,Missing or incomplete Organization JSON-LD,homepage only,"PRESENT (low; capped from medium in Stage C, D-022 -- absence is the open web's majority condition per WDC 2024, not a differentiator) if no @type:Organization JSON-LD block exists on the homepage, OR one exists but is missing 'name' or 'url'. N/A on personal/hobby/portfolio archetypes.",PRESENT,https://tartinebakery.com/,zero <script type=application/ld+json> anywhere in the raw HTML,Confirmed via the same pasted view-source used for D-003 -- overriding not_determinable for the same reason.
www.tartinebakery.com,local_business,CHK-D-008,Missing or cross-domain rel=canonical,sampled pages,"PRESENT (medium) if >=2 pages have no rel=canonical, or any page's canonical points cross-domain (not a same-brand redirect target). low if missing on exactly 1 page. Passes if self-referential, or a valid alternate-domain consolidation, or a pagination canonical.",N/A,,,No page with usable extraction to check canonical on.
www.tartinebakery.com,local_business,CHK-D-009,Broken internal links (4xx/5xx),"sampled pages, up to 20 links checked","PRESENT (low) if any checked internal link returns 4xx/5xx. Links already in links.skipped[] (robots-disallowed, fragment, mailto:, budget-cut) don't count -- they were never checked, not found broken.",ABSENT,,,0/1 checked internal links broken.
www.tartinebakery.com,local_business,CHK-D-010,No definition/numeric fact/comparison on the page,"informational pages, excl. home/contact/login (recommendation-only since Stage C)","RECOMMENDATION-ONLY since Stage C (D-022) -- never a finding, regardless of state. 'PRESENT' (i.e. flagged) if the page's text has none of: a definitional sentence ('X is a/an/the Y'), a number+unit, or an explicit comparison word ('than', 'vs', 'faster than', etc.). Silent if CHK-D-004 already fired on this page.",N/A,,,No eligible page to evaluate.
